Категория,Ссылка на товар,Полное название,Бренд,Тип товара,Название у поставщика,Состав,Назначение,Описание
Алкоголь,https://lenta.com/product/vino-kot-de-gaskon-domen-laffit-roze-ord-roz-psuh-franciya-075l-747654/,"Вино DOMAINE LAFFITTE Кот де Гасконь Домен Лаффит Розе ординарное розовое сухое, 0.75л купить со скидкой до 31% в магазине Лента | Москва, Санкт-Петербург, Россия",DOMAINE LAFFITTE,,DOMAINE LAFFITTE,"Кислота сорбиновая и ее растворимые соли, виноград свежий машинной уборки для промышленной переработки иное сырье пищевая добавкаконсервант диоксид серы. Сорт и год сбора урожая Мерло 2023, Мальбек 2023.",,"Кислота сорбиновая и ее растворимые соли, виноград свежий машинной уборки для промышленной переработки иное сырье пищевая добавкаконсервант диоксид серы. Сорт и год сбора урожая Мерло 2023, Мальбек 2023."
Алкоголь,https://lenta.com/product/vino-portvejjn-krymsk-zgu-krym-rossijjsk-kreplen-liker-krep-mar-bel-rossiya-075l-768523/,"Вино крепленое ликерное МАССАНДРА Портвейн Крымский марочное белое, 0.75л купить со скидкой до 33% в магазине Лента | Москва, Санкт-Петербург, Россия",МАССАНДРА,,МАССАНДРА,"Вино, изготовленное из винограда сортов Кокур белый, Ркацители, Алиготе с добавлением спирта этилового ректификованного из пищевогосырья Люкс, пищевая добавка (консервант, антиокислитель) – диоксид серы.",,"Вино, изготовленное из винограда сортов Кокур белый, Ркацители, Алиготе с добавлением спирта этилового ректификованного из пищевогосырья Люкс, пищевая добавка (консервант, антиокислитель) – диоксид серы."
Алкоголь,https://lenta.com/product/liker-desertnyjj--bokal-italiya-07l-770584/,"Ликер десертный CAMPARI + бокал, 0.7л купить со скидкой до 28% в магазине Лента | Москва, Санкт-Петербург, Россия",CAMPARI,,CAMPARI,"Деминерализованная вода, сахар, спирт этиловый ректификованный высшей очистки из пищевого сырья, натуральные ароматизаторы(фруктовый, травяной, древесный), красители (Е122, Е102, Е133).",,"Деминерализованная вода, сахар, спирт этиловый ректификованный высшей очистки из пищевого сырья, натуральные ароматизаторы(фруктовый, травяной, древесный), красители (Е122, Е102, Е133)."
Алкоголь,https://lenta.com/product/vino-eksponat-ross-zgu-kuban-bel-suh-rossiya-075l-771997/,"Вино БЮРНЬЕ Экспонат Российское Кубань белое сухое, 0.75л купить со скидкой до 24% в магазине Лента | Москва, Санкт-Петербург, Россия",БЮРНЬЕ,,БЮРНЬЕ,"Вино из винограда сортов Шардоне, Пино Блан, и Мускат Белый, пищевая добавка антиокислитель, консервант-диоксид серы.",,"Вино из винограда сортов Шардоне, Пино Блан, и Мускат Белый, пищевая добавка антиокислитель, консервант-диоксид серы."
Алкоголь,https://lenta.com/product/nastojjka-noble-botanicals-ogurec-i-myata-gorkaya-alk30-rossiya-07l-691014/,"Настойка BELUGA Noble Botanicals огурец и мята, 30%, горькая, 0.7л купить со скидкой до 25% в магазине Лента | Москва, Санкт-Петербург, Россия",BELUGA,,BELUGA,"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья Люкс, ароматизатор натуральный – вкус огурец, настойспиртованный свежих огурцов, настой спиротованный листьев мяты перечной, ароматизатор натуральный – вкус мяты.",,"Вода питьевая исправленная, спирт этиловый ректификованный из пищевого сырья Люкс, ароматизатор натуральный – вкус огурец, настойспиртованный свежих огурцов, настой спиротованный листьев мяты перечной, ароматизатор натуральный – вкус мяты."
Алкоголь,https://lenta.com/product/chacha-gold-gruziya-05l-736373/,"Чача SAUBARI Gold 40%, 0.5л купить со скидкой до 26% в магазине Лента | Москва, Санкт-Петербург, Россия",SAUBARI,,SAUBARI,"винный дистиллят из винограда сорта РКАЦИТЕЛИ, вода подготовленная, сахарный сироп (вода, сахар).",,"винный дистиллят из винограда сорта РКАЦИТЕЛИ, вода подготовленная, сахарный сироп (вода, сахар)."
Алкоголь,https://lenta.com/product/napitok-pivnojj-beloe-osoboe-past-alk47-st-belarus-045l-744116/,"Напиток пивной РЕЧИЦКОЕ Белое Особое пастеризованный 4,7%, 0,45л купить со скидкой до 24% в магазине Лента | Москва, Санкт-Петербург, Россия",РЕЧИЦКОЕ,,РЕЧИЦКОЕ,"вода питьевая из артезианских скважин глубиной до 130 м подготовленная, солод пивоваренный ячменный светлый, солод пшеничный светлый(М)*, пшеница (L)*, ячмень пивоваренный (В)*, солод пивоваренный ячменный карамельный (К)*, экстракт хмеля, комплексная пищеваядобавка кориандр-цедра апельсина (вода, стабилизатор: гуммиарабик, растительное масло, стабилизатор: эфиры глицерина и смоляныхкислот, масло цедры апельсина, масло кориандра, регулятор кислотности: лимонная кислота, антиокислитель: аскорбиновая кислота,консервант: бензоат натрия). *Применяемые ингредиенты указаны в строке даты розлива.",,
Алкоголь,https://lenta.com/product/vino-oridzhinal-vyderzh-kr-suh-ispaniya-0187l-630978/,"Вино САНГРЕ ДЕ ТОРО Ориджинал выдержанное красное сухое, 0.187л купить со скидкой до 24% в магазине Лента | Москва, Санкт-Петербург, Россия",ORIGINAL,,ORIGINAL,"Вино САНГРЕ ДЕ ТОРО Ориджинал выдержанное красное сухое – это напиток с насыщенным вкусом и ароматом. Вино произведено из высококачественного винограда и отличается выверенным балансом фруктовых нот и деликатной терпкости. Подходит для ценителей сухих вин, которые предпочитают напитки с богатым вкусом.",,"Вино САНГРЕ ДЕ ТОРО Ориджинал выдержанное красное сухое – это напиток с насыщенным вкусом и ароматом. Вино произведено из высококачественного винограда и отличается выверенным балансом фруктовых нот и деликатной терпкости. Подходит для ценителей сухих вин, которые предпочитают напитки с богатым вкусом."
Алкоголь,https://lenta.com/product/balzam-alk40-rossiya-01l-641767/,"Бальзам БУГУЛЬМА 40%, 0.1л купить со скидкой до 31% в магазине Лента | Москва, Санкт-Петербург, Россия",БУГУЛЬМА,,БУГУЛЬМА,,,
Алкоголь,https://lenta.com/product/vino-kr-psl-rossiya-1l-655666/,"Вино КУБАНСКАЯ ВОЛЬНИЦА красное полусладкое, 1л купить со скидкой до 18% в магазине Лента | Москва, Санкт-Петербург, Россия",КУБАНСКАЯ ВОЛЬНИЦА,,КУБАНСКАЯ ВОЛЬНИЦА,"Каберне-совиньон, левокумский.",,"Каберне-совиньон, левокумский."
Алкоголь,https://lenta.com/product/produkciya-plodovaya-alkogolnaya-ezhevichnoe-kr-psl-rossiya-075l-656749/,"Продукция плодовая алкогольная РУБИН в БОКАЛЕ Ежевичное красное полусладкое, 0.75л купить со скидкой до 22% в магазине Лента | Москва, Санкт-Петербург, Россия",Прочие Товары,,Прочие Товары,"Сброженный восстановленный ежевичный сок, сахар белый, антиокислитель диоксид серы, консервант сорбат калия, регулятор кислотностилимонная кислота.",,"Сброженный восстановленный ежевичный сок, сахар белый, антиокислитель диоксид серы, консервант сорбат калия, регулятор кислотностилимонная кислота."
Алкоголь,https://lenta.com/product/vino-alentezhu-igp-roz-psuh-portugaliya-075l-660928/,"Вино MARE VIVA Алентежу розовое полусухое, 0.75л купить со скидкой до 32% в магазине Лента | Москва, Санкт-Петербург, Россия",MARE VIVA,,MARE VIVA,"Вино из винограда сортов арагонеш, каштелау.",,"Вино из винограда сортов арагонеш, каштелау."
Алкоголь,https://lenta.com/product/produkciya-plodovaya-alkogolnaya-ezhevika-psl-armeniya-075l-664904/,"Продукция плодовая алкогольная SHAHNAZARYAN Ежевика полусладкое, 0.75л купить со скидкой до 27% в магазине Лента | Москва, Санкт-Петербург, Россия",SHAHNAZARYAN,,SHAHNAZARYAN,"Дробленые свежие плоды ежевики,пищевая добавка-консервант (антиокислитель) диоксид серы,пищевая добавка-консервант сорбиноваякислота.",,"Дробленые свежие плоды ежевики,пищевая добавка-консервант (антиокислитель) диоксид серы,пищевая добавка-консервант сорбиноваякислота."
Алкоголь,https://lenta.com/product/vino-montepulciano-dabruzzo-dop-kr-psuh-italiya-075l-574839/,"Вино TENUTA ULISSE Montepulciano D'Abruzzo красное полусухое, 0.75л купить со скидкой до 15% в магазине Лента | Москва, Санкт-Петербург, Россия",TENUTA ULISSE,,TENUTA ULISSE,"Монтепульчано, диоксид серы.",,
Алкоголь,https://lenta.com/product/vino-bel-suh-italiya-075l-515348/,"Вино GAVI DEI GAVI белое сухое, 0.75л купить со скидкой до 36% в магазине Лента | Москва, Санкт-Петербург, Россия",Прочие Товары,,Прочие Товары,"Уже в 1960-е годы белое сухое вино GAVI DEI GAVI от LA SCOLCA считалось самым изысканным, самым роскошным белым вином в Италии. Его наравне с великими винами Бордо, Бургундии и Шампани подавали в ресторане легендарного поезда «Восточный экспресс» (Orient Express), где его могли попробовать именитые и коронованные особы. Это было одно из двух вин, представлявших Италию. Бутылку с черной этикеткой подавали на приемах по случаю открытия оперного сезона в La Scalla и в посольстве Великобритании в Риме в 2007 и 2008 годах, отмечая день рождения Елизаветы II.",,"Уже в 1960-е годы белое сухое вино GAVI DEI GAVI от LA SCOLCA считалось самым изысканным, самым роскошным белым вином в Италии. Его наравне с великими винами Бордо, Бургундии и Шампани подавали в ресторане легендарного поезда «Восточный экспресс» (Orient Express), где его могли попробовать именитые и коронованные особы. Это было одно из двух вин, представлявших Италию. Бутылку с черной этикеткой подавали на приемах по случаю открытия оперного сезона в La Scalla и в посольстве Великобритании в Риме в 2007 и 2008 годах, отмечая день рождения Елизаветы II."
Алкоголь,https://lenta.com/product/napitok-slaboalkogolnyjj-dzhin-tonik-klassicheskijj-gaz-alk72-zhb-rossiya-045l-518570/,"Напиток слабоалкогольный MANCHESTER Джин-тоник классический, 7,2%, ж/б, 0.45л купить со скидкой до 26% в магазине Лента | Москва, Санкт-Петербург, Россия",MANCHESTER,,MANCHESTER,"Вода подготовленная, глюкозно-фруктозный сироп (Г*) и сахар или сахар (С*), спирт этиловый ректификованный из пищевого сырья люкс,регулятор кислотности: лимонная кислота, натуральный ароматизатор (хинин), ароматизатор, консервант: бензоат натрия, джин.",,"Вода подготовленная, глюкозно-фруктозный сироп (Г*) и сахар или сахар (С*), спирт этиловый ректификованный из пищевого сырья люкс,регулятор кислотности: лимонная кислота, натуральный ароматизатор (хинин), ароматизатор, консервант: бензоат натрия, джин."
Алкоголь,https://lenta.com/product/vino-mukuzani-sortovoe-vyderzh-kr-suh-gruziya-075l-553213/,"Вино ВИНА ТАВАДЗЕ Мукузани сортовое марочное красное сухое, 0.75л купить со скидкой до 34% в магазине Лента | Москва, Санкт-Петербург, Россия",ВИНА ТАВАДЗЕ,,ВИНА ТАВАДЗЕ,Виноград сорта саперави 100%.,,Виноград сорта саперави 100%.
Алкоголь,https://lenta.com/product/vino-pino-nuar-kr-psuh-germaniya-075l-479398/,"Вино HANS BAER Пино Нуар красное полусухое, 0.75л купить со скидкой до 31% в магазине Лента | Москва, Санкт-Петербург, Россия",HANS BAER,,HANS BAER,Пино нуар 100%.,,
Алкоголь,https://lenta.com/product/vino-merlo-pejj-dok-igp-kr-suh-franciya-075l-495864/,"Вино LA BAUME SAINT-PAUL Мерло Пэй Д'ОК красное сухое, 0.75л купить со скидкой до 40% в магазине Лента | Москва, Санкт-Петербург, Россия",LA BAUME SAINT-PAUL,,LA BAUME SAINT-PAUL,"Вино LA BAUME SAINT-PAUL Мерло Лангедок-Руссильон обладает рубиново-красным цветом. Яркий аромат вина наполнен оттенками вишни и красной смородины. Вино отличается гармоничным вкусом и приятным послевкусием. Идеально подходит к красному жареному мясу, мясным закускам и сырам.",,"Вино LA BAUME SAINT-PAUL Мерло Лангедок-Руссильон обладает рубиново-красным цветом. Яркий аромат вина наполнен оттенками вишни и красной смородины. Вино отличается гармоничным вкусом и приятным послевкусием. Идеально подходит к красному жареному мясу, мясным закускам и сырам."
Алкоголь,https://lenta.com/product/vodka-ledyanika-osobaya-alk40-rossiya-05l-528097/,"Водка ТАЛКА Особая Ледяника 40%, 0.5л купить со скидкой до 10% в магазине Лента | Москва, Санкт-Петербург, Россия",ТАЛКА,,ТАЛКА,Особая водка ТАЛКА «Ледяника» сочетает в себе чистоту нетронутой сибирской природы и морозную свежесть ароматных северных ягод – клюквы и брусники. Напиток будто уносит вас в бодрящее утро бескрайних северных просторов.,,Особая водка ТАЛКА «Ледяника» сочетает в себе чистоту нетронутой сибирской природы и морозную свежесть ароматных северных ягод – клюквы и брусники. Напиток будто уносит вас в бодрящее утро бескрайних северных просторов.
Алкоголь,https://lenta.com/product/vino-nero-di-troya-igp-apuliya-sort-kr-psuh-italiya-075l-715492/,"Вино SELLATA Неро ди троя Апулия сортовое красное полусухое, 0.75л купить со скидкой до 11% в магазине Лента | Москва, Санкт-Петербург, Россия",SELLATA,,SELLATA,"вино из винограда сортов Неро ди Троя, содержит консервант диоксид серы (E220)",,
Алкоголь,https://lenta.com/product/vino-cabernet-franc-ordinarnoe-sort-kr-suh-argentina-075l-739692/,"Вино FINCA ANDINOS Cabernet Franc ординарное сортовое красное сухое, 0.75л купить со скидкой до 36% в магазине Лента | Москва, Санкт-Петербург, Россия",FINCA ANDINOS,,FINCA ANDINOS,Виноград сорта Каберне Фран 100%,,Виноград сорта Каберне Фран 100%
Алкоголь,https://lenta.com/product/napitok-spirtnojj-tekila-asenda-gold-alk40-meksika-075l-740291/,"Напиток спиртной SAUZA Текила Асьенда Голд 40%, 0.75л купить со скидкой до 28% в магазине Лента | Москва, Санкт-Петербург, Россия",SAUZA,,SAUZA,"Вода подготовленная, дистиллят из голубой агавы, экстракт коры дуба, краситель – сахарный колер (карамель).",,"Вода подготовленная, дистиллят из голубой агавы, экстракт коры дуба, краситель – сахарный колер (карамель)."
Алкоголь,https://lenta.com/product/vino-gavi-bel-suh-italiya-075l-678456/,"Вино IL ROCCHIN Gavi белое сухое, 0.75л купить со скидкой до 26% в магазине Лента | Москва, Санкт-Петербург, Россия",IL ROCCHIN,,IL ROCCHIN,Кортезе 100%,,Кортезе 100%
Алкоголь,https://lenta.com/product/vino-bordo-aos-bel-suh-franciya-075l-616409/,"Вино DEMAZEL Бордо белое сухое, 0.75л купить со скидкой до 50% в магазине Лента | Москва, Санкт-Петербург, Россия",DEMAZEL,,DEMAZEL,"Вино из винограда сортов Семильон – 50%, Совиньон Блан – 50%.",,"Вино из винограда сортов Семильон – 50%, Совиньон Блан – 50%."
Алкоголь,https://lenta.com/product/vino-lomiauri-sort-maroch-kr-psl-yuzhnaya-osetiya-075l-638594/,"Вино MEDJIDA Ломиаури сортовое марочное красное полусладкое, 0.75л купить со скидкой до 29% в магазине Лента | Москва, Санкт-Петербург, Россия",MEDJIDA,,MEDJIDA,"Вино из винограда сорта ломиаури, консервант (антиокислитель) диоксид серы.",,
Алкоголь,https://lenta.com/product/vino-selection-des-princes-bordo-sort-ord-bel-suh-franciya-075l-458546/,"Вино CALVET Selection Des Princes Бордо сортовое ординарное белое сухое, 0.75л купить со скидкой до 30% в магазине Лента | Москва, Санкт-Петербург, Россия",CALVET,,CALVET,Вино CALVET Selection Des Princes Бордо сортовое ординарное белое сухое – это образ жизни. Вина на любой вкус и настроение.,,Вино CALVET Selection Des Princes Бордо сортовое ординарное белое сухое – это образ жизни. Вина на любой вкус и настроение.
Алкоголь,https://lenta.com/product/pivo-svetloe-9-legendarnoe-krepkoe-paster-alk8-zhb-rossiya-045l-433629/,"Пиво светлое БАЛТИКА №9 Легендарное крепкое пастеризованное 8%, 0.45л купить со скидкой до 27% в магазине Лента | Москва, Санкт-Петербург, Россия",БАЛТИКА,,БАЛТИКА,"Вода питьевая очищенная, солод ячменный светлый, ячмень пивоваренный, хмелепродукты, солодовый экстракт.",,"Вода питьевая очищенная, солод ячменный светлый, ячмень пивоваренный, хмелепродукты, солодовый экстракт."
Алкоголь,https://lenta.com/product/medovuha-mango-nefiltr-nepast-neosv-alk45-st-rossiya-075l-692850/,"Медовуха MEDOVARUS Манго нефильтрованная непастеризованное 4,5%, 0.75л купить со скидкой до 22% в магазине Лента | Москва, Санкт-Петербург, Россия",MEDOVARUS,,MEDOVARUS,"Вода, сахар, сок яблочный концентрированный, сок манго концентрированный, мед, дрожжи.",,"Вода, сахар, сок яблочный концентрированный, сок манго концентрированный, мед, дрожжи."
Алкоголь,https://lenta.com/product/pivo-svetloe-pilzenskoe-filtr-past-alk48-st-rossiya-045l-678042/,"Пиво светлое ХАМОВНИКИ Пильзенское фильтрованное пастеризованное 4,8%, 0.45л купить со скидкой до 14% в магазине Лента | Москва, Санкт-Петербург, Россия",ХАМОВНИКИ,,ХАМОВНИКИ,"Вода питьевая, солод пивоваренный ячменный, хмелепродукты.",,"Вода питьевая, солод пивоваренный ячменный, хмелепродукты."
Алкоголь,https://lenta.com/product/liker-desertnyjj-bitter-rossiya-075l-731139/,"Ликер AMAREZZA DOLCE Десертный Bitter, 0.75л купить со скидкой до 47% в магазине Лента | Москва, Санкт-Петербург, Россия",AMAREZZA DOLCE,,AMAREZZA DOLCE,"Вода подготовленная (исправленная), сахарный сироп, спирт этиловый ректификованный из пищевого сырья Люкс, настой спиртованныйгоречавки (экстракт корня горечавки, мальтодекстрин), ароматизаторы, настои спиртованные (бурбонской ванили, гвоздики), экстрактполыни (экстракт полыни, вода, консерванты (сорбат калия, бензоат натрия), регулятор кислотности – лимонная кислота, красители(сахарный колер IV, кармуазин, желтый солнечный закат).",,"Вода подготовленная (исправленная), сахарный сироп, спирт этиловый ректификованный из пищевого сырья Люкс, настой спиртованныйгоречавки (экстракт корня горечавки, мальтодекстрин), ароматизаторы, настои спиртованные (бурбонской ванили, гвоздики), экстрактполыни (экстракт полыни, вода, консерванты (сорбат калия, бензоат натрия), регулятор кислотности – лимонная кислота, красители(сахарный колер IV, кармуазин, желтый солнечный закат)."
Алкоголь,https://lenta.com/product/vino-igristoe-prosekko-bryut-bel-bryut-italiya-15l-657618/,"Вино игристое DECORDI Просекко белое брют, 1.5л купить со скидкой до 25% в магазине Лента | Москва, Санкт-Петербург, Россия",DECORDI,,DECORDI,Глера.,,Глера.
Алкоголь,https://lenta.com/product/konyak-travel-3-goda-alk40-rossiya-025l-491726/,"Коньяк СТАРЕЙШИНА Travel 3 года 40%, 0.25л купить со скидкой до 10% в магазине Лента | Москва, Санкт-Петербург, Россия",СТАРЕЙШИНА,,СТАРЕЙШИНА,"Вся коллекция коньяков СТАРЕЙШИНА экологична! Весь цикл производства продукта соответствует стандартам экологичности, что подтверждено сертификатом соответствия Ростеста. Коллекции коньяка произведены в Испании в собственной DISTILLERIA ALVISA из испанских коньячных спиртов региона Кастилья Ла Манча. Выдержаны в бочках из 100-летнего лимузенского дуба в погребах завода Alvisa AG в Испании. Коньяк СТАРЕЙШИНА производится только из чистого натурального винограда, выращенного в экологически чистых районах, без добавления химических консервантов и генетически модифицированных объектов растительного происхождения. Уникальные, не имеющие аналогов формы бутылок, декорация по стеклу, премиальные этикетки, натуральная корковая пробка, совершенный выдержанный вкус коньяка – несомненные конкурентные преимущества всех коньяков коллекции. Коньяк СТАРЕЙШИНА 3-летний выдержан в бочках из векового лимузенского дуба более трех лет. Разливается в уникальные бутылки с вогнутым дном в форме призмы.",,"Вся коллекция коньяков СТАРЕЙШИНА экологична! Весь цикл производства продукта соответствует стандартам экологичности, что подтверждено сертификатом соответствия Ростеста. Коллекции коньяка произведены в Испании в собственной DISTILLERIA ALVISA из испанских коньячных спиртов региона Кастилья Ла Манча. Выдержаны в бочках из 100-летнего лимузенского дуба в погребах завода Alvisa AG в Испании. Коньяк СТАРЕЙШИНА производится только из чистого натурального винограда, выращенного в экологически чистых районах, без добавления химических консервантов и генетически модифицированных объектов растительного происхождения. Уникальные, не имеющие аналогов формы бутылок, декорация по стеклу, премиальные этикетки, натуральная корковая пробка, совершенный выдержанный вкус коньяка – несомненные конкурентные преимущества всех коньяков коллекции. Коньяк СТАРЕЙШИНА 3-летний выдержан в бочках из векового лимузенского дуба более трех лет. Разливается в уникальные бутылки с вогнутым дном в форме призмы."
Алкоголь,https://lenta.com/product/vino-vbf-ordinarnoe-bel-suh-italiya-15l-493840/,"Вино ASTRALE V.B.F. ординарное белое сухое, 1.5л купить со скидкой до 20% в магазине Лента | Москва, Санкт-Петербург, Россия",ASTRALE,,ASTRALE,"Авторское мультирегиональное вино V.B.F. ASTRALE от компании «Пиччини» отличается уникальным блендом из четырех сортов винограда: «вионье» 40%, «шардоне» 30%, «верментино» 20%, «пекорино» 10%, каждый из которых происходит из отдельного региона Италии. Название посвящено небесной сфере, которой в итальянской культуре всегда отводилось важное место, начиная с эпохи римских богов и императоров.",,"Авторское мультирегиональное вино V.B.F. ASTRALE от компании «Пиччини» отличается уникальным блендом из четырех сортов винограда: «вионье» 40%, «шардоне» 30%, «верментино» 20%, «пекорино» 10%, каждый из которых происходит из отдельного региона Италии. Название посвящено небесной сфере, которой в итальянской культуре всегда отводилось важное место, начиная с эпохи римских богов и императоров."
Алкоголь,https://lenta.com/product/vino-bel-suh-rossiya-075l-736095/,"Вино CHATEAU LE GRAND VOSTOCK Российское Кубань Крымск белое сухое, 0.75л купить со скидкой до 34% в магазине Лента | Москва, Санкт-Петербург, Россия",CHATEAU LE GRAND VOS,,CHATEAU LE GRAND VOS,"вино из винограда сортов Совиньон Блан, Алиготе, Пино Гри, Шардоне, консервант диоксид серы",,"вино из винограда сортов Совиньон Блан, Алиготе, Пино Гри, Шардоне, консервант диоксид серы"
Алкоголь,https://lenta.com/product/pivo-svetloe-blansh-razlivnoe-pshenichnoe-filtr-nepast-alk44-pet-rossiya-092l-692298/,"Пиво светлое БАДДИ КРАФТ Бланш разливное пшеничное фильтрованное непастеризованное 4,4%, 0.92л купить со скидкой до 13% в магазине Лента | Москва, Санкт-Петербург, Россия",БАДДИ КРАФТ,,БАДДИ КРАФТ,"Вода, солод пивоваренный пшеничный светлый, солод пивоваренный ячменный светлый, мальтозная патока, хмелепродукты.",,"Вода, солод пивоваренный пшеничный светлый, солод пивоваренный ячменный светлый, мальтозная патока, хмелепродукты."
Алкоголь,https://lenta.com/product/medovuha-chernosmor-lambik-filtr-nepast-obespl-alk48-st-rossiya-033l-699214/,"Медовуха MEDOVARUS Черносмородиновый Ламбик фильтрованная непастеризованная 4,8%, 0.33л купить со скидкой до 27% в магазине Лента | Москва, Санкт-Петербург, Россия",MEDOVARUS,,MEDOVARUS,"Вода питьевая, сахар белый, сок концентрированный яблочный, мед натуральный, сок концентрированный черной смородины,концентрированный сок черной моркови, дрожжи хлебопекарные сушеные.",,"Вода питьевая, сахар белый, сок концентрированный яблочный, мед натуральный, сок концентрированный черной смородины,концентрированный сок черной моркови, дрожжи хлебопекарные сушеные."
Алкоголь,https://lenta.com/product/vodka-osobaya-cranraz-alk40-germaniya-07l-590515/,"Водка DANZKA CranRaz особая 40%, 0.7л купить со скидкой до 16% в магазине Лента | Москва, Санкт-Петербург, Россия",DANZKA,,DANZKA,"Вода подготовленная, спирт этиловый ректификованный из пищевого сырья Альфа, натуральный ароматизатор Клюква и Малина.",,"Вода подготовленная, спирт этиловый ректификованный из пищевого сырья Альфа, натуральный ароматизатор Клюква и Малина."
Алкоголь,https://lenta.com/product/vino-rkaciteli-sortovoe-bel-psl-rossiya-3l-655085/,"Вино TRADITIONAL WINE Ркацители сортовое белое полусладкое, 3л купить со скидкой до 14% в магазине Лента | Москва, Санкт-Петербург, Россия",TRADITIONAL WINE,,TRADITIONAL WINE,"Вино из винограда сорта ркацители, сусло виноградное концентрированное, антиокислитель – диоксид серы, консервант – сорбат калия.",,"Вино из винограда сорта ркацители, сусло виноградное концентрированное, антиокислитель – диоксид серы, консервант – сорбат калия."
Алкоголь,https://lenta.com/product/napitok-pivnojj-temnyjj-filtr-paster-alk50-st-belgiya-033l-491270/,"Напиток пивной темный BOURGOGNE DES FLANDRЕS фильтрованный пастеризованный, 5%, 0.33л купить со скидкой до 29% в магазине Лента | Москва, Санкт-Петербург, Россия",BOURGOGNE DES FLANDR,,BOURGOGNE DES FLANDR,"Вода, ячменный солод, кукуруза, сахар, пшеница, жареный ячмень, хмель, специи (кориандр), антиокислитель E300.",,"Вода, ячменный солод, кукуруза, сахар, пшеница, жареный ячмень, хмель, специи (кориандр), антиокислитель E300."
Алкоголь,https://lenta.com/product/vodka-selebrejjshen-alk40-rossiya-1l-627270/,"Водка BELUGA Селебрейшен 40%, 1л купить со скидкой до 32% в магазине Лента | Москва, Санкт-Петербург, Россия",BELUGA,,BELUGA,"Вода питьевая подготовленная, спирт из пищевого сырья класса Люкс, мёд натуральный, настой спиртовой хлопьев овсяных (органик),настой спиртованный проросших зерен овса, настой спиртованный кураги.",,"Вода питьевая подготовленная, спирт из пищевого сырья класса Люкс, мёд натуральный, настой спиртовой хлопьев овсяных (органик),настой спиртованный проросших зерен овса, настой спиртованный кураги."
Алкоголь,https://lenta.com/product/vino-maola-spa-sauvignon-blanc-varietal-bel-suh-chili-075l-719080/,"Вино SOMBRERO MAGICO Maola Spa Sauvignon Blanc Вариетал белое сухое, 0.75л купить со скидкой до 30% в магазине Лента | Москва, Санкт-Петербург, Россия",SOMBRERO MAGICO,,SOMBRERO MAGICO,вино из винограда сорта СОВИНЬОН БЛАН,,вино из винограда сорта СОВИНЬОН БЛАН
Алкоголь,https://lenta.com/product/konyak-5-let-alk40-rossiya-0375l-687894/,"Коньяк КОКТЕБЕЛЬ 5 лет 40%, 0.375л купить со скидкой до 11% в магазине Лента | Москва, Санкт-Петербург, Россия",КОКТЕБЕЛЬ,,КОКТЕБЕЛЬ,"Коньячные дистилляты (выдержанные не менее 3-х лет), вода питьевая умягченная, сахар, пищевая добавка – краситель сахарный колер Iпростой.",,"Коньячные дистилляты (выдержанные не менее 3-х лет), вода питьевая умягченная, сахар, пищевая добавка – краситель сахарный колер Iпростой."
Алкоголь,https://lenta.com/product/pivo-svetloe-filtr-nepaster-alk105-st-belgiya-033l-523125/,"Пиво светлое PIRAAT фильтрованное непастеризованное, 10,5%, 0.33л купить со скидкой до 14% в магазине Лента | Москва, Санкт-Петербург, Россия",PIRAAT,,PIRAAT,"Вода, ячменный солод, хмель, дрожжи. Содержит глютен.",,"Вода, ячменный солод, хмель, дрожжи. Содержит глютен."
Алкоголь,https://lenta.com/product/vino-kreplenoe-likernoe-portvejjn-belyjj-surozh-krym-zgu-rossijjsk-maroch-krep-bel-rossiya-075l-454452/,"Вино крепленое ликерное МАССАНДРА Портвейн Белый Сурож Крым Российское марочное белое, 0.75л купить со скидкой до 35% в магазине Лента | Москва, Санкт-Петербург, Россия",МАССАНДРА,,МАССАНДРА,Вино ликерное МАССАНДРА Портвейн Белый Сурож делается с 1936 года. Сурож – древнеславянское название города Судак. На международных конкурсах награжден четырьмя золотыми медалями.,,Вино ликерное МАССАНДРА Портвейн Белый Сурож делается с 1936 года. Сурож – древнеславянское название города Судак. На международных конкурсах награжден четырьмя золотыми медалями.
Алкоголь,https://lenta.com/product/pivo-temnoe-filtr-nepaster-alk52-zhb-belgiya-05l-639896/,"Пиво темное RODENBACH фильтрованное непастеризованное 5,2%, 0.5л купить со скидкой до 22% в магазине Лента | Москва, Санкт-Петербург, Россия",RODENBACH,,RODENBACH,"Вода питьевая, ячменный солод, фруктозный сироп, хмель.",,"Вода питьевая, ячменный солод, фруктозный сироп, хмель."
Алкоголь,https://lenta.com/product/pivo-svetloe-akvarel-nepast-nefiltr-neosv-alk69-zhb-rossiya-045l-734489/,"Пиво светлое PANZER BREWERY Акварель непастеризованное нефильтрованное неосветленное 6,9%, 0.45л купить со скидкой до 10% в магазине Лента | Москва, Санкт-Петербург, Россия",PANZER BREWERY,,PANZER BREWERY,"Вода, солод пивоваренный светлый, хмель, дрожжи пивные.",,"Вода, солод пивоваренный светлый, хмель, дрожжи пивные."
